pH,MO,fosforo,azufre,calcio,magnesio,potasio,CIC,CE,anios_est,IPS
6.44,6.17,2.73,2.35,6.84,2.48,0.22,9.61,0.14,15.0,75
4.87,4.0,1.45,16.22,0.5,0.19,0.13,3.52,0.15,0.5,41
5.67,2.22,20.91,4.8,4.41,1.05,0.2,5.74,0.22,0.5,70
7.42,1.66,6.97,6.14,24.25,12.0,0.41,36.76,0.3,3.0,74
4.98,2.91,5.01,7.39,1.84,0.61,0.16,4.47,0.17,0.5,40
4.21,2.21,12.82,13.63,0.295,0.2,0.15,7.1,0.32,3.0,39
6.51,1.529,6.548,2.95,5.969,3.164,0.122,9.356,0.22,0.5,64
5.5,1.05,22.66,1.47,2.09,0.99,0.045,3.2,0.09,0.5,56
7.01,2.61,15.7,4.36,10.82,2.78,0.11,13.84,0.29,0.5,68
6.95,1.52,8.55,6.202,13.26,5.62,0.28,19.3,0.29,0.5,76
6.9,2.263,48.44,3.487,7.562,3.33,0.512,11.51,0.252,3.0,84
5.76,16.27,8.403,16.76,8.82,1.66,0.26,10.89,0.3,3.0,79
4.69,2.8,1.935,17.03,0.64,0.1,0.045,4.02,0.12,15.0,37
5.48,3.64,75.73,2.14,5.99,1.12,0.13,7.56,0.25,3.0,68
5.31,23.21,20.92,5.617,6.657,2.154,0.6,10.67,0.463,0.5,88
5.56,4.227,140.5,8.225,13.6,2.022,1.568,18.89,0.569,0.5,91
4.95,3.883,12.25,7.252,1.691,0.544,0.262,5.071,0.063,0.5,51
5.25,8.562,4.872,4.8,0.47,0.276,0.111,3.822,0.114,3.0,50
5.23,4.565,8.101,3.262,2.455,0.435,0.094,3.836,0.125,0.5,49
5.15,3.52,8.403,2.67,4.09,0.83,0.45,6.13,0.43,0.5,60
5.08,6.378,3.519,3.386,3.209,1.135,0.289,5.929,0.236,0.5,64
5.36,4.34,7.6,8.05,4.57,1.02,0.21,6.61,0.21,3.0,63
4.36,1.72,1.935,1.34,0.295,0.1,0.045,2.63,0.1,0.5,32
8.57,1.07,20.14,9.71,19.52,4.4,0.29,24.5,0.45,0.5,67
5.43,2.22,11.54,6.1,5.05,1.46,0.17,7.64,0.14,0.5,62
5.059,3.182,4.029,6.411,3.876,1.923,0.271,7.645,0.159,0.5,60
5.42,4.17,5.933,12.31,3.856,0.822,0.438,5.604,0.3,0.5,59
6.87,2.33,49.39,49.4,3.42,0.52,0.1,4.44,0.61,0.5,56
4.03,3.513,53.25,56.64,1.497,0.637,0.569,5.428,0.613,7.5,54
4.63,0.982,4.79,6.221,2.454,0.428,0.099,4.436,0.275,0.5,40
5.56,5.9,12.34,11.91,3.56,0.67,0.56,4.91,0.21,15.0,69
5.99,5.722,59.77,8.145,7.683,1.43,1.477,10.71,0.425,0.5,89
7.44,3.645,18.05,5.61,20.04,0.289,0.233,20.69,0.439,15.0,71
6.68,5.02,4.9,6.75,11.25,3.55,0.38,15.28,0.25,3.0,87
6.16,5.279,40.6,5.518,6.739,2.96,0.291,10.1,0.191,0.5,87
4.61,9.629,20.35,4.114,0.28,0.205,0.185,9.269,0.07,0.5,58
5.14,4.95,32.79,17.51,3.79,1.06,0.14,6.05,0.23,0.5,63
6.3,3.732,5.691,5.096,17.6,0.81,0.251,18.76,0.329,15.0,73
8.26,1.422,9.137,20.28,27.61,3.914,0.278,31.91,0.998,0.5,59
5.54,1.45,6.37,19.3,4.33,1.08,0.2,5.7,0.27,0.5,64
5.24,1.653,1.935,1.39,0.25,0.1,0.045,2.276,0.029,0.5,42
4.16,1.5,1.935,2.4,0.56,0.21,0.12,8.5,0.33,0.5,36
6.24,1.95,4.55,7.24,9.88,5.17,0.27,15.4,0.21,0.5,76
8.5,1.377,9.843,1.011,46.37,2.464,0.51,49.49,0.603,0.5,64
6.63,2.33,34.31,2.41,11.91,3.13,0.15,15.4,0.21,15.0,79
4.59,4.43,5.24,5.45,0.58,0.16,0.12,4.94,0.2,3.0,41
5.35,2.555,6.524,7.726,6.743,1.655,0.233,9.397,0.24,0.5,59
6.0,7.34,23.91,12.29,10.41,1.0,0.34,11.84,0.24,15.0,83
6.21,1.359,56.65,3.257,2.964,0.913,0.197,4.175,0.112,0.5,61
5.62,12.36,6.295,3.735,2.891,0.531,0.368,3.906,0.201,0.5,67
8.58,1.03,26.67,6.13,28.13,8.92,0.26,37.5,0.65,0.5,65
6.97,1.64,29.83,2.88,5.08,1.45,0.045,6.7,0.14,0.5,67
4.72,2.529,3.521,5.094,1.544,0.698,0.32,6.34,0.194,3.0,47
6.33,3.445,15.47,4.166,10.97,3.52,1.89,16.52,0.18,7.5,88
5.18,14.86,16.4,10.32,1.486,0.725,0.193,3.468,0.223,0.5,59
4.86,2.5,3.1,4.87,0.97,0.3,0.19,8.19,0.14,0.5,44
5.57,2.1,5.834,3.342,2.304,1.124,0.045,3.906,0.214,0.5,54
5.74,12.92,6.589,8.074,4.534,1.353,0.547,6.536,0.187,3.0,80
5.81,14.31,4.38,5.04,10.04,2.77,0.49,13.45,0.2,0.5,87
7.74,1.157,18.71,25.02,9.599,5.291,0.233,15.59,0.397,3.0,69
7.41,1.0,11.06,1.61,18.6,4.23,0.29,23.38,0.1,3.0,74
5.06,11.1,5.61,3.49,2.75,0.94,0.22,6.01,0.21,0.5,63
5.14,0.64,1.77,8.06,0.69,0.14,0.045,2.29,0.12,0.5,42
6.89,2.05,48.8,7.78,37.64,0.51,0.2,38.45,0.87,0.5,75
4.27,8.29,8.403,15.57,0.7,0.29,0.18,3.87,0.75,0.5,39
5.14,4.834,5.006,2.018,11.87,2.071,0.162,15.02,0.411,0.5,75
8.13,4.5,19.27,13.54,40.13,3.1,1.13,44.49,0.71,0.5,71
4.86,5.55,74.13,14.28,1.51,0.67,0.46,7.11,0.22,0.5,63
6.93,0.74,54.06,7.09,5.92,1.92,0.124,8.118,0.195,0.5,69
7.61,2.334,33.87,4.441,28.52,0.421,0.045,29.08,0.92,15.0,60
4.639,3.67,48.25,10.65,1.903,0.602,0.363,5.217,0.522,7.5,57
5.44,1.57,51.49,3.64,3.66,0.83,0.1,5.21,0.21,0.5,57
5.04,18.07,40.28,6.16,3.18,0.52,0.19,6.22,0.46,15.0,71
7.21,0.847,60.94,1.428,3.481,0.95,0.161,4.693,0.156,0.5,56
7.88,1.009,9.386,10.67,8.476,2.754,0.221,11.73,0.489,0.5,63
6.99,1.78,35.33,5.06,5.63,1.5,0.23,7.45,0.18,0.5,70
5.2,1.64,5.06,21.43,3.39,1.11,0.26,5.78,0.17,0.5,56
4.889,5.102,1.935,4.641,5.517,1.088,0.467,9.955,0.226,0.5,65
7.61,1.0,9.91,11.53,17.76,4.44,0.31,22.75,0.54,0.5,67
4.58,7.151,18.7,6.85,1.317,0.225,0.258,8.015,0.228,0.5,55
5.44,8.045,5.967,8.604,2.447,0.527,0.127,3.9,0.226,15.0,53
5.99,5.617,8.026,3.406,13.44,6.784,0.336,20.67,0.207,7.5,87
5.41,11.12,26.23,12.65,4.53,0.85,0.67,6.83,0.31,7.5,77
6.09,3.437,17.57,2.065,9.171,0.833,0.131,10.16,0.161,0.5,70
5.81,3.321,1.935,5.723,3.938,1.003,0.389,5.471,0.165,0.5,68
6.26,10.9,13.67,12.39,13.93,4.14,0.99,19.11,0.91,0.5,93
6.17,2.69,26.42,1.26,14.72,5.19,0.27,20.27,0.14,7.5,82
5.74,2.868,52.69,2.298,8.698,1.211,0.734,10.84,0.169,3.0,83
5.04,5.076,230.6,7.481,5.199,0.805,0.356,7.062,0.391,0.5,74
4.96,1.032,44.78,4.095,2.67,0.3,0.045,7.954,0.086,0.5,52
4.92,1.38,1.84,9.06,1.6,0.54,0.11,5.25,0.11,0.5,41
6.42,4.008,5.844,3.081,9.771,1.398,0.659,11.88,0.292,7.5,79
5.4,0.64,0.645,1.1,0.36,0.13,0.045,1.01,0.04,0.5,42
6.7,1.33,9.61,1.48,5.67,4.86,0.15,10.78,0.07,0.5,68
4.32,1.19,3.87,17.87,0.56,0.1,0.045,5.8,0.2,0.5,36
6.58,2.56,33.02,5.884,18.1,3.305,0.857,22.37,0.247,0.5,87
5.31,4.648,27.87,3.731,8.252,2.253,0.199,10.93,0.545,0.5,76
5.73,2.61,32.17,4.25,2.8,0.68,0.13,3.68,0.23,7.5,56
4.57,1.02,0.645,7.71,0.61,0.18,0.045,4.01,0.05,0.5,37
6.37,4.415,20.54,1.512,18.61,0.563,0.281,19.79,0.303,0.5,79
6.85,0.964,29.78,3.626,12.18,4.897,0.268,17.45,0.17,0.5,82
5.33,1.09,2.27,2.42,2.81,1.43,0.1,5.14,0.14,0.5,53
4.46,2.02,1.77,6.73,0.48,0.2,0.11,2.47,0.24,7.5,32
5.18,5.15,11.47,5.72,6.14,3.97,0.46,12.67,0.23,3.0,80
7.73,3.532,80.27,0.647,28.82,0.261,0.093,29.28,0.494,0.5,68
6.5,2.614,64.03,5.251,9.921,4.874,0.107,15.56,0.246,0.5,81
4.44,4.531,1.121,6.706,0.318,0.164,0.111,3.932,0.105,7.5,36
5.45,1.292,6.066,1.585,1.441,0.544,0.099,2.123,0.095,0.5,42
5.01,9.02,9.11,16.11,2.65,0.29,0.34,6.91,0.23,0.5,63
4.69,5.41,8.403,12.37,3.17,0.73,0.28,8.27,0.27,0.5,53
7.22,8.52,214.9,125.47,16.06,1.82,1.62,19.89,1.54,0.5,84
6.33,4.014,84.37,4.507,11.53,2.528,0.211,14.33,0.161,7.5,85
6.07,3.502,5.528,8.639,12.86,2.585,0.405,16.31,1.295,0.5,78
4.49,20.5,13.79,6.189,3.582,1.244,0.52,9.409,1.588,0.5,60
5.85,2.628,5.113,4.915,4.193,2.282,0.409,6.934,0.295,0.5,70
5.8,0.49,64.59,1.748,1.031,0.191,0.099,1.405,0.129,3.0,55
5.6,7.185,13.76,11.31,2.282,0.932,0.287,3.603,0.254,15.0,64
4.74,1.24,3.13,14.49,0.52,0.17,0.045,3.2,0.12,0.5,37
4.7,2.48,0.71,15.57,0.56,0.25,0.045,2.84,0.17,0.5,37
6.01,5.257,25.47,19.25,7.494,2.07,1.132,11.37,0.376,0.5,90
4.9,24.88,62.32,159.64,13.07,3.0,4.33,22.96,2.43,3.0,82
7.34,4.93,49.79,9.99,12.14,1.08,0.59,13.95,0.6,0.5,80
5.68,10.96,9.03,4.61,5.81,1.73,0.33,7.96,0.19,3.0,78
6.04,2.375,6.628,2.81,11.19,6.516,0.166,18.09,0.249,7.5,76
5.02,7.93,6.77,5.9,0.56,0.29,0.2,3.02,0.23,3.0,53
6.81,4.798,52.47,6.712,7.368,0.719,0.726,8.874,0.35,3.0,77
4.94,7.001,108.3,31.06,4.51,1.761,0.208,8.79,0.458,0.5,70
4.52,5.07,11.57,13.96,0.56,0.1,0.1,4.36,0.17,0.5,48
6.48,0.81,7.28,9.53,5.79,1.52,0.16,7.81,0.22,0.5,64
6.45,9.22,58.62,66.8,24.18,5.96,1.41,32.81,0.223,0.5,87
7.07,1.45,41.13,6.82,11.3,3.9,0.43,15.83,0.4,0.5,82
5.84,6.443,4.88,4.08,2.509,0.925,0.727,4.263,0.224,7.5,66
5.96,4.26,82.14,7.41,4.85,0.58,0.21,5.69,0.17,0.5,72
6.66,0.521,14.03,2.177,5.878,2.898,0.134,8.976,0.047,3.0,67
4.71,1.59,1.935,6.14,1.31,0.25,0.045,2.82,0.24,3.0,37
6.0,3.597,23.31,10.9,5.614,1.857,0.144,7.929,0.27,0.5,71
6.27,2.0,1.96,3.97,23.94,6.88,0.26,31.23,0.15,0.5,76
5.74,12.6,1.85,5.79,2.67,0.6,0.24,3.62,0.13,0.5,64
8.55,1.733,29.32,2.704,47.43,3.308,0.419,51.4,0.68,0.5,68
7.09,9.12,368.96,9.6,17.54,2.74,0.77,21.12,0.46,0.5,92
5.87,4.05,1.935,1.46,4.23,1.69,0.79,6.79,0.11,0.5,73
5.11,5.31,5.07,6.1,2.08,0.4,0.1,3.69,0.26,0.5,53
4.88,4.293,13.51,6.953,5.247,1.384,0.21,8.826,0.473,0.5,61
5.92,1.62,1.935,3.51,4.25,2.24,0.19,6.77,0.18,3.0,67
7.54,0.96,115.57,179.02,16.42,4.24,3.27,32.49,0.223,0.5,69
8.14,1.71,30.31,51.86,11.23,1.912,0.294,13.65,0.469,0.5,61
6.36,1.577,91.83,14.73,12.53,1.437,0.293,14.42,0.524,3.0,76
8.33,1.482,0.942,6.88,14.35,0.683,0.045,15.67,0.817,0.5,49
4.72,1.07,5.76,7.34,0.66,0.25,0.1,3.83,0.11,0.5,37
4.96,2.1,2.08,0.97,0.43,0.15,0.045,2.79,0.06,0.5,37
5.68,11.73,4.655,4.301,5.21,1.673,0.177,7.17,0.165,0.5,75
6.0,2.16,3.12,6.202,7.4,1.04,0.12,8.65,0.223,3.0,51
6.44,3.115,16.68,15.52,4.963,1.906,0.519,7.715,1.663,0.5,71
4.45,2.359,3.138,3.58,0.386,0.277,0.144,4.251,0.08,0.5,32
5.19,2.986,6.115,13.99,1.499,0.46,0.172,3.198,0.131,3.0,45
5.49,11.72,28.73,8.071,3.332,0.75,0.806,4.916,0.335,0.5,70
6.12,1.03,37.43,2.98,3.69,0.49,0.045,4.28,0.11,7.5,56
6.83,4.83,26.72,11.41,29.49,2.6,0.24,32.44,0.36,0.5,86
5.46,5.15,9.0,16.53,2.46,1.68,0.44,5.65,0.17,0.5,67
5.23,8.43,2.88,11.8,0.3,0.08,0.24,2.02,0.1,0.5,53
7.67,5.445,22.97,9.425,43.94,1.666,0.251,45.91,0.6,0.5,75
5.59,1.62,7.168,4.467,8.166,5.153,0.264,13.72,0.129,7.5,73
5.42,8.743,35.2,15.91,3.374,1.41,0.569,6.358,0.754,0.5,73
4.98,2.67,1.94,11.12,0.4,0.17,0.045,2.93,0.1,15.0,37
5.06,3.41,57.66,13.39,3.01,0.49,0.44,5.54,0.25,0.5,67
4.7,8.55,1.935,3.27,0.56,0.1,0.15,4.48,0.15,0.5,45
4.66,2.917,36.85,7.29,4.187,0.997,0.488,6.11,0.869,0.5,57
5.25,9.278,6.04,10.07,9.097,3.762,0.883,14.11,0.792,0.5,79
6.51,2.851,3.721,5.324,14.01,6.073,0.567,22.36,0.456,0.5,81
5.36,0.53,8.403,5.06,0.81,0.22,0.045,1.98,0.1,0.5,40
4.67,1.69,1.935,3.08,0.295,0.1,0.045,2.71,0.1,0.5,37
4.87,13.33,9.195,6.687,2.986,0.964,0.419,7.593,0.526,7.5,59
4.61,3.641,4.493,22.09,2.723,0.712,0.209,5.772,0.284,0.5,51
5.04,7.4,14.14,12.75,2.57,0.42,0.49,5.91,0.44,0.5,66
6.54,2.594,1.935,3.62,5.329,9.922,0.045,15.48,0.162,0.5,71
5.45,13.56,7.357,10.02,2.428,0.682,0.252,3.41,0.229,0.5,59
7.13,1.579,22.7,2.786,22.1,13.27,0.418,36.16,0.159,3.0,80
5.46,1.02,3.83,9.51,2.57,0.48,0.09,3.39,0.19,0.5,45
4.769,10.77,31.32,47.98,2.519,0.901,0.828,7.051,0.77,0.5,67
7.0,1.284,19.99,0.792,12.63,4.405,0.31,17.49,0.189,0.5,82
7.21,3.64,3.11,5.41,35.42,8.72,1.34,45.6,0.16,0.5,80
6.05,7.081,4.263,9.602,7.787,2.097,1.958,11.95,0.313,3.0,84
7.88,1.28,11.75,6.202,22.21,7.78,0.42,31.59,0.38,0.5,72
5.76,1.41,3.38,8.84,1.17,0.44,0.045,1.76,0.08,0.5,47
6.45,3.88,1.97,3.39,14.01,12.79,0.045,27.01,0.12,3.0,77
4.639,2.807,32.6,18.83,1.872,0.647,0.634,4.603,0.484,0.5,51
5.84,2.688,1.935,2.164,4.29,0.956,0.576,5.962,0.208,0.5,65
4.41,2.0,1.935,9.8,0.56,0.2,0.18,6.3,0.14,0.5,39
5.97,8.81,3.37,3.22,4.37,0.71,0.34,5.47,0.14,7.5,71
4.57,5.816,7.724,6.719,1.695,0.555,0.427,6.601,0.243,0.5,55
8.16,1.778,37.84,46.34,9.734,1.603,0.336,11.94,0.325,0.5,64
4.58,3.328,2.17,4.727,0.736,0.154,0.108,2.833,0.065,0.5,41
6.84,1.338,18.47,1.881,9.575,1.514,0.093,11.28,0.12,0.5,70
4.16,1.71,1.935,11.13,0.56,0.1,0.045,3.09,0.3,7.5,32
4.62,3.667,3.803,14.42,0.251,0.218,0.146,4.555,0.197,3.0,41
6.47,1.45,18.83,4.38,13.04,5.28,0.32,18.73,0.22,0.5,82
5.42,11.93,1.69,4.72,0.87,0.28,0.09,1.92,0.16,3.0,53
5.04,3.67,2.31,11.68,1.02,0.61,0.33,4.54,0.14,15.0,52
4.3,1.62,8.23,5.05,0.76,0.24,0.15,3.51,0.27,0.5,32
6.5,3.064,9.744,3.534,13.13,5.046,0.425,18.74,0.226,7.5,83
5.49,4.638,236.5,8.825,5.467,0.909,0.045,6.488,0.113,0.5,64
7.77,0.97,30.01,2.84,21.43,4.3,0.36,26.25,0.33,3.0,75
5.35,2.013,12.13,2.44,3.679,1.732,0.13,5.9,0.288,0.5,56
4.62,2.331,3.291,3.432,0.402,0.179,0.1,2.241,0.149,0.5,37
4.809,1.086,3.58,5.69,1.098,0.452,0.045,3.816,0.11,7.5,37
5.63,12.93,15.2,14.9,6.27,0.99,0.61,7.99,0.38,0.5,79
4.46,1.64,16.72,9.93,2.86,0.73,0.39,6.48,0.44,0.5,48
6.14,1.658,10.75,6.202,11.55,0.455,0.045,12.16,0.541,0.5,64
6.6,1.56,9.95,5.014,5.386,1.592,0.045,7.153,0.092,0.5,61
5.04,1.81,1.935,3.12,2.75,1.4,0.21,12.16,0.08,0.5,60
5.29,1.14,7.29,41.67,1.6,0.34,0.09,2.32,0.21,0.5,42
6.48,11.62,31.87,47.64,11.63,2.82,2.45,17.28,0.98,0.5,96
5.54,1.55,4.95,6.202,6.18,4.48,0.29,11.13,0.11,3.0,71
4.68,2.132,1.935,4.019,0.689,0.274,0.09,6.571,0.097,0.5,41
5.16,11.0,39.34,12.73,4.37,1.57,0.25,8.29,0.26,15.0,76
4.63,6.71,68.94,8.76,2.41,0.88,1.11,14.57,0.56,15.0,70
7.96,1.1,16.73,9.89,11.87,1.67,0.36,14.0,0.22,0.5,66
5.39,8.02,60.84,13.51,5.14,2.05,1.09,9.15,0.39,0.5,83
6.4,1.95,18.14,6.14,3.97,1.62,0.18,5.86,0.25,0.5,64
5.86,10.98,5.8,6.1,3.39,1.01,0.39,4.84,0.21,0.5,71
5.59,3.17,4.2,6.03,4.47,1.89,0.55,6.97,0.18,3.0,73
5.85,4.942,2.427,6.967,10.52,5.612,0.361,16.52,0.186,3.0,83
4.63,2.95,1.935,11.36,0.295,0.22,0.045,4.03,0.19,0.5,37
6.37,2.0,2.51,7.49,34.49,13.51,0.65,48.91,0.18,0.5,81
5.42,5.249,1.935,4.862,8.487,1.506,0.242,10.55,0.947,0.5,71
5.87,3.069,64.77,6.45,6.134,1.162,0.853,8.25,0.338,0.5,81
5.4,20.06,228.7,13.87,5.386,0.627,0.881,7.821,0.365,0.5,79
6.12,0.695,1.935,3.066,3.032,0.728,0.045,3.99,0.06,0.5,50
5.64,4.488,2.614,4.54,4.38,3.145,0.182,7.762,0.141,0.5,71
5.41,1.982,1.935,7.294,1.214,0.668,0.38,3.007,0.095,0.5,48
5.32,1.732,7.005,4.121,1.522,0.637,0.112,3.322,0.267,0.5,42
6.24,5.9,85.37,10.61,17.57,4.84,0.97,23.77,0.79,0.5,95
6.78,1.47,420.5,6.202,3.45,0.56,0.045,4.13,0.223,3.0,48
4.94,3.9,9.57,6.54,8.26,1.54,0.22,10.49,0.94,0.5,62
6.54,0.593,8.146,7.862,2.534,0.85,0.045,3.615,0.06,0.5,50
5.31,9.846,314.7,21.08,5.365,0.989,1.155,7.975,0.585,0.5,74
5.33,5.2,12.35,32.94,4.22,0.61,0.41,5.8,0.48,0.5,69
5.87,3.28,3.9,5.62,3.82,0.98,0.37,5.22,0.21,0.5,64
5.51,7.6,160.24,16.98,7.05,2.28,2.45,11.86,0.73,3.0,90
5.73,3.24,1.935,9.2,4.4,0.9,0.11,5.47,0.24,3.0,61
4.65,4.114,299.1,19.08,1.204,0.894,0.131,3.909,0.243,0.5,49
5.74,2.061,3.819,1.605,4.226,2.058,0.045,6.465,0.106,0.5,64
6.64,2.36,13.1,3.63,12.62,3.12,0.13,15.99,0.21,3.0,76
6.59,3.76,8.403,7.58,11.35,2.91,1.29,15.68,0.31,0.5,83
5.06,1.29,4.93,4.69,0.56,0.44,0.13,2.78,0.16,0.5,42
6.0,3.198,8.777,5.009,5.466,1.233,0.307,7.056,0.143,0.5,71
5.88,1.5,3.94,4.79,7.08,2.24,0.36,9.76,0.3,3.0,70
9.24,0.522,1.935,19.38,7.962,5.994,0.134,21.64,0.94,0.5,54
5.06,1.72,8.9,4.6,3.14,0.66,0.13,5.1,0.15,7.5,49
5.58,12.31,7.975,4.123,3.673,0.591,0.266,4.659,0.198,0.5,64
4.91,7.83,11.59,4.258,1.932,1.402,0.575,6.565,0.183,0.5,64
5.67,8.98,30.7,13.18,13.69,0.52,0.1,14.46,0.26,7.5,77
6.6,1.83,5.56,2.34,7.58,1.2,0.1,8.97,0.18,0.5,61
4.83,2.869,18.04,51.86,2.789,0.986,0.045,4.316,0.443,0.5,43
6.4,3.64,92.52,3.3,20.92,1.57,0.24,22.81,0.2,0.5,85
4.86,6.443,47.29,8.677,2.962,0.245,0.179,6.877,0.189,3.0,63
6.12,2.07,1.6,5.7,14.09,4.36,0.29,18.87,0.22,0.5,76
6.06,1.74,8.99,1.78,3.91,1.7,0.19,5.85,0.08,3.0,61
4.03,4.981,8.994,23.77,1.026,0.353,0.295,5.275,0.246,3.0,43
4.75,4.19,3.25,6.86,3.59,3.14,1.52,16.24,0.33,0.5,70
4.91,2.38,1.67,2.44,0.46,0.2,0.045,3.65,0.08,0.5,37
7.41,1.6,36.21,2.36,8.2,1.81,0.32,10.43,0.2,0.5,74
6.35,8.489,128.1,5.37,9.175,0.91,0.405,10.59,0.338,7.5,85
5.48,2.38,3.476,3.611,2.028,1.161,0.179,3.417,0.148,0.5,52
5.08,4.502,1.464,7.419,2.876,1.521,0.459,6.028,0.172,0.5,63
5.21,5.634,3.714,4.216,3.556,1.418,0.099,5.63,0.116,0.5,61
4.309,5.635,17.22,3.019,1.138,0.756,0.18,5.922,0.567,7.5,48
5.62,4.66,3.268,3.924,7.076,2.282,0.201,9.69,0.098,0.5,71
6.08,1.47,6.25,5.82,2.28,0.6,0.18,3.13,0.12,0.5,53
5.5,4.685,10.44,3.619,2.27,1.267,0.465,4.165,0.164,0.5,67
5.33,17.68,1.925,3.076,1.46,0.493,0.249,3.03,0.141,3.0,56
4.849,1.711,71.58,8.072,2.597,1.387,0.045,5.246,0.229,7.5,56
5.32,2.24,0.645,2.88,5.03,2.62,0.1,9.14,0.1,0.5,59
4.78,5.642,5.179,4.473,1.566,1.075,0.457,5.892,0.221,15.0,59
5.86,1.67,2.36,2.15,8.85,6.18,0.26,15.52,0.22,0.5,76
4.61,1.815,1.935,14.2,1.058,0.706,0.116,2.973,0.461,0.5,37
6.66,2.65,45.54,11.29,12.32,6.68,0.21,19.34,0.27,0.5,84
4.83,3.14,2.26,7.57,0.71,0.24,0.09,4.27,0.17,7.5,41
4.52,1.79,3.17,4.92,0.56,0.33,0.09,2.85,0.21,0.5,37
6.19,2.57,22.94,10.41,9.812,1.466,0.51,12.34,0.402,7.5,81
5.39,1.62,5.14,4.15,3.91,1.25,0.045,5.78,0.15,0.5,53
5.32,2.45,1.935,1.75,2.89,3.44,0.31,9.77,0.1,0.5,62
6.96,1.403,68.82,2.639,1.984,2.467,0.045,4.555,0.088,0.5,62
4.73,1.845,1.935,1.343,1.976,0.605,0.177,11.43,0.239,0.5,48
4.47,2.76,2.1,8.32,0.32,0.71,0.13,10.02,0.11,7.5,40
4.78,6.98,11.02,3.01,0.24,0.18,0.16,4.58,0.16,0.5,51
7.42,4.22,10.26,3.91,42.15,0.73,0.24,43.22,0.61,0.5,69
5.059,2.289,6.505,2.462,2.724,0.876,0.094,5.673,0.169,0.5,49
5.75,1.459,1.935,3.077,3.811,2.113,0.139,6.203,0.151,0.5,61
7.12,2.81,14.86,4.42,31.07,5.28,0.29,36.83,0.24,3.0,74
6.34,2.627,4.432,3.568,13.1,9.868,0.3,23.33,0.237,0.5,76
4.39,1.98,3.91,4.44,0.67,0.25,0.31,3.4,0.2,0.5,38
5.01,1.0,0.645,2.46,1.45,0.48,0.14,19.02,0.05,0.5,53
5.16,10.28,3.3,2.92,2.33,0.99,0.18,6.18,0.25,0.5,63
5.23,1.486,23.07,7.126,4.947,1.288,0.368,8.171,0.374,0.5,68
4.8,1.74,17.3,3.02,2.27,0.6,0.045,4.78,0.3,0.5,43
5.96,1.274,14.6,1.846,2.402,1.295,0.16,3.939,0.179,3.0,60
5.77,2.52,1.935,7.38,4.21,1.38,0.36,5.98,0.24,15.0,67
5.93,1.8,7.33,5.09,9.21,3.99,0.24,13.49,0.57,3.0,71
4.599,5.15,47.98,27.8,2.115,0.503,0.396,6.45,0.26,3.0,66
7.77,3.616,1.935,2.378,46.35,2.207,0.572,49.43,0.776,0.5,73
4.28,9.492,16.01,6.946,2.716,0.808,0.361,8.356,1.057,0.5,51
8.73,0.43,3.1,52.91,26.89,9.99,0.21,41.07,2.17,0.5,53
6.15,1.163,56.75,2.514,5.79,0.961,0.186,7.098,0.194,0.5,68
5.42,1.0,7.31,7.2,1.69,0.24,0.1,5.05,0.07,3.0,46
5.48,2.39,2.798,4.353,4.305,3.885,0.14,8.451,0.164,3.0,59
7.33,2.76,10.39,4.71,22.05,8.4,0.34,30.93,0.24,0.5,77
6.32,1.34,11.91,3.73,15.14,5.13,0.29,20.69,0.12,0.5,79
8.38,1.72,2.72,4.3,29.57,2.67,0.27,33.01,0.66,0.5,59
5.57,0.95,1.935,3.25,1.49,0.41,0.045,2.01,0.06,0.5,47
5.65,12.62,2.692,2.365,1.379,0.328,0.371,2.133,0.26,0.5,64
6.34,2.09,244.29,4.94,3.05,0.66,0.19,3.94,0.33,3.0,61
4.88,1.97,2.14,3.48,0.34,0.15,0.045,2.52,0.07,0.5,37
4.85,2.36,10.13,4.33,1.51,0.42,0.11,4.35,0.19,0.5,40
5.28,14.88,34.91,11.03,2.83,0.79,0.27,5.16,0.25,0.5,69
5.05,8.372,4.217,7.555,0.25,0.1,0.045,1.313,0.166,0.5,50
5.85,1.2,1.935,3.934,11.31,2.531,0.206,14.1,0.162,0.5,73
5.88,2.4,9.29,4.58,15.09,5.24,0.18,20.56,0.24,0.5,76
5.5,18.48,12.42,6.676,7.474,1.397,1.023,9.995,0.748,0.5,81
4.97,2.899,30.88,6.848,1.551,0.573,0.202,3.025,0.178,0.5,46
6.43,6.112,305.9,22.49,7.45,1.85,0.988,10.4,1.521,0.5,84
5.72,1.312,8.646,8.903,5.652,2.739,0.045,8.584,0.169,3.0,64
5.059,9.448,1.935,7.522,0.25,0.327,0.045,2.315,0.157,3.0,50
6.1,2.9,10.75,5.7,7.93,1.03,0.44,9.47,0.29,3.0,70
4.89,4.38,24.05,7.46,2.65,0.3,0.37,6.79,0.19,0.5,60
4.71,7.28,8.11,7.39,2.41,0.64,0.28,6.52,0.29,0.5,55
5.85,2.347,19.84,4.117,4.942,1.675,0.182,6.881,0.274,3.0,67
5.17,12.81,91.75,4.26,5.021,0.742,0.368,7.629,0.256,0.5,77
8.49,0.86,20.6,4.92,19.43,4.65,0.28,24.45,0.43,0.5,67
5.98,1.801,1.862,6.141,4.069,1.678,0.114,5.951,0.295,0.5,61
5.84,2.127,73.89,2.373,6.383,1.131,0.045,7.706,0.187,7.5,69
5.56,12.02,5.954,7.935,6.701,1.912,0.784,9.457,0.131,0.5,80
